priority,dataset_role,trial_label,object,x_m,z_m,motion,speed_mps,occlusion_events,duration_sec,repeats,status
P2,development,shape_bluecone_left_xm0p40_z1p00_r01,blue_cone,-0.40,1.00,static,,0,10,1,optional
P2,development,shape_bluecone_right_xp0p40_z1p00_r01,blue_cone,0.40,1.00,static,,0,10,1,optional
P2,development,shape_redcone_center_z0p80_r01,red_cone,0.00,0.80,static,,0,10,1,pending
P2,development,shape_redcone_center_z1p00_r01,red_cone,0.00,1.00,static,,0,10,1,pending
P2,development,shape_redcone_center_z1p30_r01,red_cone,0.00,1.30,static,,0,10,1,pending
P2,development,shape_redcone_left_xm0p40_z1p00_r01,red_cone,-0.40,1.00,static,,0,10,1,pending
P2,development,shape_redcone_right_xp0p40_z1p00_r01,red_cone,0.40,1.00,static,,0,10,1,pending
P3,development,dyn_box_approach_center_v0p10_r01,blue_box,0.00,1.30,approach,0.10,0,15,1,conditional
P3,development,dyn_box_approach_center_v0p10_r02,blue_box,0.00,1.30,approach,0.10,0,15,1,conditional
P3,development,dyn_box_approach_center_v0p10_r03,blue_box,0.00,1.30,approach,0.10,0,15,1,conditional
P3,development,dyn_box_retreat_center_v0p10_r01,blue_box,0.00,0.65,retreat,0.10,0,15,1,conditional
P3,development,dyn_box_retreat_center_v0p10_r02,blue_box,0.00,0.65,retreat,0.10,0,15,1,conditional
P3,development,dyn_box_retreat_center_v0p10_r03,blue_box,0.00,0.65,retreat,0.10,0,15,1,conditional
P3,development,dyn_box_approach_center_v0p20_r01,blue_box,0.00,1.30,approach,0.20,0,10,1,conditional
P3,development,dyn_box_approach_center_v0p20_r02,blue_box,0.00,1.30,approach,0.20,0,10,1,conditional
P3,development,dyn_box_approach_center_v0p20_r03,blue_box,0.00,1.30,approach,0.20,0,10,1,conditional
P3,development,dyn_box_pass_left_xm0p40_v0p10_r01,blue_box,-0.40,1.30,approach,0.10,0,15,1,conditional
P3,development,dyn_box_pass_left_xm0p40_v0p10_r02,blue_box,-0.40,1.30,approach,0.10,0,15,1,conditional
P3,development,dyn_box_pass_right_xp0p40_v0p10_r01,blue_box,0.40,1.30,approach,0.10,0,15,1,conditional
P3,development,dyn_box_pass_right_xp0p40_v0p10_r02,blue_box,0.40,1.30,approach,0.10,0,15,1,conditional
P1,sealed_test,sealed_box_xm0p30_z0p90_r01,blue_box,-0.30,0.90,static,,0,10,1,sealed
P1,sealed_test,sealed_box_xp0p30_z0p90_r01,blue_box,0.30,0.90,static,,0,10,1,sealed
P1,sealed_test,sealed_box_xm0p30_z1p15_r01,blue_box,-0.30,1.15,static,,0,10,1,sealed
P1,sealed_test,sealed_box_xp0p30_z1p15_r01,blue_box,0.30,1.15,static,,0,10,1,sealed
P1,sealed_test,sealed_box_center_z1p10_r01,blue_box,0.00,1.10,static,,0,10,1,sealed
P1,sealed_test,sealed_box_occlusion_z1p10_r01,blue_box,0.00,1.10,static,,2,20,1,sealed
