collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,collision_ffb_challenge_received_count,collision_ffb_challenge_age_sec,collision_ffb_challenge_session_id,collision_ffb_challenge_token,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
16,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,17,0.533,1473277.480335893,1.582137524150312
17,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,18,0.567,1473277.514192105,1.6159937360789627
18,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,,,,,19,0.6,1473277.547990261,1.6497918921522796
19,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,,,,,20,0.633,1473277.581853678,1.6836553090251982
20,1,1,CLEAR,0,0.0,off,cadence_cancelled_by_clear,,,,,,21,0.667,1473277.615704127,1.7175057579297572
21,1,1,CLEAR,0,0.0,off,no_alert,,,,,,22,0.7,1473277.649438591,1.7512402220163494
22,1,1,CLEAR,0,0.0,off,no_alert,,,,,,23,0.733,1473277.68329196,1.7850935910828412
23,1,1,CLEAR,0,0.0,off,no_alert,,,,,,24,0.767,1473277.717195937,1.8189975679852068
24,1,1,CLEAR,0,0.0,off,no_alert,,,,,,25,0.8,1473277.751025376,1.8528270069509745
25,1,1,UNKNOWN,1,0.15,pulse,invalid_or_unknown_perception:cadence_single,,,,,,26,0.833,1473277.78494829,1.8867499211337417
26,1,1,UNKNOWN,1,0.15,pulse,invalid_or_unknown_perception:cadence_single,,,,,,27,0.867,1473277.818823642,1.9206252731382847
27,1,1,UNKNOWN,1,0.15,pulse,invalid_or_unknown_perception:cadence_single,,,,,,28,0.9,1473277.852793697,1.9545953280758113
28,1,1,CLEAR,0,0.0,off,unknown_pulse_complete,,,,,,29,0.933,1473277.886691836,1.988493466982618
29,1,1,CLEAR,0,0.0,off,unknown_pulse_complete,,,,,,30,0.967,1473277.920559398,2.0223610289394855
30,1,1,CLEAR,0,0.0,off,unknown_pulse_complete,,,,,,31,1.0,1473277.954458891,2.0562605219893157
31,1,1,CLEAR,0,0.0,off,unknown_pulse_complete,,,,,,32,1.033,1473277.988313173,2.0901148039847612
32,1,1,CLEAR,0,0.0,off,unknown_pulse_complete,,,,,,33,1.067,1473278.02211379,2.1239154210779816
33,1,1,CLEAR,0,0.0,off,unknown_pulse_complete,,,,,,34,1.1,1473278.0559906,2.157792231068015
34,1,1,CLEAR,0,0.0,off,unknown_pulse_complete,,,,,,35,1.133,1473278.089856398,2.1916580290999264
35,1,1,CLEAR,0,0.0,off,unknown_pulse_complete,,,,,,36,1.167,1473278.123731101,2.225532731972635
36,1,1,CLEAR,0,0.0,off,unknown_pulse_complete,,,,,,37,1.2,1473278.157798418,2.25960004911758
37,1,1,CLEAR,0,0.0,off,unknown_pulse_complete,,,,,,38,1.233,1473278.19179168,2.2935933109838516
38,1,1,CLEAR,0,0.0,off,unknown_pulse_complete,,,,,,39,1.267,1473278.225726471,2.3275281020905823
39,1,1,CLEAR,0,0.0,off,unknown_pulse_complete,,,,,,40,1.3,1473278.259739556,2.361541186925024
40,1,1,CLEAR,0,0.0,off,cadence_cancelled_by_clear,,,,,,41,1.333,1473278.293679163,2.3954807941336185
41,1,1,CLEAR,0,0.0,off,no_alert,,,,,,42,1.367,1473278.327558313,2.4293599440716207
42,1,1,CLEAR,0,0.0,off,no_alert,,,,,,43,1.4,1473278.361387471,2.4631891020108014
43,1,1,CLEAR,0,0.0,off,no_alert,,,,,,44,1.433,1473278.395258447,2.497060077963397
44,1,1,CLEAR,0,0.0,off,no_alert,,,,,,45,1.467,1473278.429102357,2.5309039880521595
45,1,1,CLEAR,0,0.0,off,no_alert,,,,,,,,1473278.466394627,2.568196657113731
