collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,collision_ffb_challenge_received_count,collision_ffb_challenge_age_sec,collision_ffb_challenge_session_id,collision_ffb_challenge_token,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
44,1,1,CLEAR,0,0.0,off,no_alert,,,,,,45,1.490158,1473494.87471436,2.5278827550355345
45,1,1,CLEAR,0,0.0,off,no_alert,,,,,,46,1.522092,1473494.908764156,2.561932550976053
46,1,1,CLEAR,0,0.0,off,no_alert,,,,,,47,1.554424,1473494.942745644,2.5959140388295054
47,1,1,CLEAR,0,0.0,off,no_alert,,,,,,48,1.587164,1473494.976492713,2.6296611079014838
48,1,1,CLEAR,0,0.0,off,no_alert,,,,,,49,1.622423,1473495.010303636,2.663472031010315
49,1,1,CLEAR,0,0.0,off,no_alert,,,,,,50,1.654249,1473495.044086516,2.697254910832271
50,1,1,CLEAR,0,0.0,off,no_alert,,,,,,51,1.685992,1473495.07796308,2.731131474953145
51,1,1,CLEAR,0,0.0,off,no_alert,,,,,,52,1.722348,1473495.111799455,2.764967849943787
52,1,1,CLEAR,0,0.0,off,no_alert,,,,,,53,1.754565,1473495.145623322,2.798791717039421
53,1,1,CLEAR,0,0.0,off,no_alert,,,,,,54,1.785969,1473495.17943263,2.832601025002077
54,1,1,CLEAR,0,0.0,off,no_alert,,,,,,55,1.824516,1473495.213262615,2.866431009955704
55,1,1,CLEAR,0,0.0,off,no_alert,,,,,,56,1.856628,1473495.247081152,2.9002495468594134
56,1,1,CLEAR,0,0.0,off,no_alert,,,,,,57,1.887413,1473495.280949925,2.9341183200012892
57,1,1,CLEAR,0,0.0,off,no_alert,,,,,,58,1.922426,1473495.314767836,2.9679362308233976
58,1,1,CLEAR,0,0.0,off,no_alert,,,,,,59,1.954461,1473495.348612845,3.0017812398727983
59,1,1,CLEAR,0,0.0,off,no_alert,,,,,,60,1.987504,1473495.382498674,3.035667069023475
60,1,1,CLEAR,0,0.0,off,no_alert,,,,,,61,2.019969,1473495.416399709,3.0695681038778275
61,1,1,CLEAR,0,0.0,off,no_alert,,,,,,62,2.054209,1473495.450290468,3.103458862984553
62,1,1,CLEAR,0,0.0,off,no_alert,,,,,,63,2.087412,1473495.48395396,3.1371223549358547
63,1,1,CLEAR,0,0.0,off,no_alert,,,,,,64,2.124662,1473495.517710071,3.1708784659858793
64,1,1,CLEAR,0,0.0,off,no_alert,,,,,,65,2.159232,1473495.551463824,3.204632218927145
65,1,1,CLEAR,0,0.0,off,no_alert,,,,,,66,2.190304,1473495.58511474,3.238283134996891
66,1,1,CLEAR,0,0.0,off,no_alert,,,,,,67,2.23368,1473495.618835927,3.272004321916029
67,1,1,CLEAR,0,0.0,off,no_alert,,,,,,68,2.269485,1473495.652554859,3.305723253870383
68,1,1,CLEAR,0,0.0,off,no_alert,,,,,,69,2.299488,1473495.68643235,3.339600744890049
69,1,1,CLEAR,0,0.0,off,no_alert,,,,,,70,2.342162,1473495.720366544,3.3735349390190095
70,1,1,CLEAR,0,0.0,off,no_alert,,,,,,71,2.378737,1473495.754262529,3.4074309240095317
71,1,1,CLEAR,0,0.0,off,no_alert,,,,,,72,2.411018,1473495.788140885,3.441309279995039
72,1,1,CLEAR,0,0.0,off,no_alert,,,,,,73,2.44424,1473495.822030138,3.4751985329203308
73,1,1,CLEAR,0,0.0,off,no_alert,,,,,,74,2.485472,1473495.855854948,3.509023342980072
74,1,1,CLEAR,0,0.0,off,no_alert,,,,,,75,2.515724,1473495.889791613,3.5429600079078227
75,1,1,CLEAR,0,0.0,off,no_alert,,,,,,76,2.548683,1473495.924057611,3.577226005960256
76,1,1,CLEAR,0,0.0,off,no_alert,,,,,,77,2.577497,1473495.958173103,3.611341497860849
77,1,1,CLEAR,0,0.0,off,no_alert,,,,,,78,2.610303,1473495.992156697,3.645325091900304
78,1,1,CLEAR,0,0.0,off,no_alert,,,,,,79,2.646473,1473496.026041495,3.67920988984406
79,1,1,CLEAR,0,0.0,off,no_alert,,,,,,80,2.680556,1473496.059835853,3.7130042479839176
80,1,1,CLEAR,0,0.0,off,no_alert,,,,,,81,2.718781,1473496.093720258,3.746888652909547
81,1,1,CLEAR,0,0.0,off,no_alert,,,,,,82,2.751414,1473496.127580655,3.7807490499690175
82,1,1,CLEAR,0,0.0,off,no_alert,,,,,,83,2.794771,1473496.16138994,3.81455833488144
83,1,1,CLEAR,0,0.0,off,no_alert,,,,,,84,2.835814,1473496.195203217,3.848371611908078
84,1,1,CLEAR,0,0.0,off,no_alert,,,,,,85,2.870305,1473496.229012837,3.8821812318637967
85,1,1,CLEAR,0,0.0,off,no_alert,,,,,,86,2.905906,1473496.262840848,3.916009242879227
86,1,1,CLEAR,0,0.0,off,no_alert,,,,,,87,2.937095,1473496.296678533,3.9498469280079007
87,1,1,CLEAR,0,0.0,off,no_alert,,,,,,88,2.972032,1473496.330542721,3.983711116015911
88,1,1,CLEAR,0,0.0,off,no_alert,,,,,,89,3.003244,1473496.364347675,4.0175160698127
89,1,1,CLEAR,0,0.0,off,no_alert,,,,,,90,3.034922,1473496.39821987,4.051388264866546
90,1,1,CLEAR,0,0.0,off,no_alert,,,,,,91,3.068244,1473496.432042627,4.085211021825671
91,1,1,CLEAR,0,0.0,off,no_alert,,,,,,92,3.101282,1473496.465868115,4.119036509888247
92,1,1,CLEAR,0,0.0,off,no_alert,,,,,,93,3.132699,1473496.499722093,4.152890488039702
93,1,1,CLEAR,0,0.0,off,no_alert,,,,,,94,3.165211,1473496.533388238,4.186556632863358
94,1,1,CLEAR,0,0.0,off,no_alert,,,,,,95,3.196506,1473496.567084527,4.220252922037616
95,1,1,CLEAR,0,0.0,off,no_alert,,,,,,96,3.228176,1473496.600800965,4.253969359910116
96,1,1,CLEAR,0,0.0,off,no_alert,,,,,,97,3.260086,1473496.634718643,4.287887037964538
97,1,1,CLEAR,0,0.0,off,no_alert,,,,,,98,3.292183,1473496.668640122,4.3218085169792175
98,1,1,CLEAR,0,0.0,off,no_alert,,,,,,99,3.325217,1473496.702548991,4.355717385886237
99,1,1,CLEAR,0,0.0,off,no_alert,,,,,,100,3.358395,1473496.736320338,4.389488732907921
100,1,1,CLEAR,0,0.0,off,no_alert,,,,,,101,3.386868,1473496.77015193,4.423320324858651
101,1,1,CLEAR,0,0.0,off,no_alert,,,,,,102,3.418931,1473496.803942602,4.457110996823758
102,1,1,CLEAR,0,0.0,off,no_alert,,,,,,103,3.451945,1473496.837852244,4.491020638961345
103,1,1,CLEAR,0,0.0,off,no_alert,,,,,,104,3.483942,1473496.871852046,4.525020441040397
104,1,1,CLEAR,0,0.0,off,no_alert,,,,,,105,3.515539,1473496.905890863,4.559059257851914
105,1,1,CLEAR,0,0.0,off,no_alert,,,,,,106,3.547137,1473496.939907459,4.593075854005292
106,1,1,CLEAR,0,0.0,off,no_alert,,,,,,107,3.579565,1473496.97389036,4.627058754907921
107,1,1,CLEAR,0,0.0,off,no_alert,,,,,,108,3.61154,1473497.008021678,4.661190073005855
108,1,1,CLEAR,0,0.0,off,no_alert,,,,,,109,3.644396,1473497.04205726,4.695225654868409
109,1,1,CLEAR,0,0.0,off,no_alert,,,,,,110,3.675136,1473497.075894425,4.729062819853425
110,1,1,CLEAR,0,0.0,off,no_alert,,,,,,111,3.707818,1473497.109659529,4.762827923987061
111,1,1,CLEAR,0,0.0,off,no_alert,,,,,,112,3.739811,1473497.143366474,4.796534868888557
112,1,1,CLEAR,0,0.0,off,no_alert,,,,,,113,3.772374,1473497.17716542,4.830333814956248
113,1,1,CLEAR,0,0.0,off,no_alert,,,,,,114,3.803742,1473497.211097797,4.8642661918420345
114,1,1,CLEAR,0,0.0,off,no_alert,,,,,,115,3.837338,1473497.24493728,4.898105674888939
115,1,1,CLEAR,0,0.0,off,no_alert,,,,,,116,3.866533,1473497.278777403,4.931945797987282
116,1,1,PATH,0,0.0,off,no_alert,,,,,,117,3.900267,1473497.31256375,4.965732144890353
117,1,1,PATH,0,0.0,off,no_alert,,,,,,118,3.931367,1473497.346401226,4.999569620937109
118,1,1,CLEAR,0,0.0,off,no_alert,,,,,,119,3.96591,1473497.380195193,5.033363587921485
119,1,1,CLEAR,0,0.0,off,no_alert,,,,,,120,3.995925,1473497.413948482,5.067116876831278
120,1,1,PATH,0,0.0,off,no_alert,,,,,,121,4.029018,1473497.447765885,5.100934279849753
121,1,1,PATH,0,0.0,off,no_alert,,,,,,122,4.059481,1473497.481628269,5.134796663885936
122,1,1,CLEAR,0,0.0,off,no_alert,,,,,,123,4.089619,1473497.515456807,5.1686252020299435
123,1,1,CLEAR,0,0.0,off,no_alert,,,,,,124,4.12277,1473497.549240262,5.2024086569435894
124,1,1,PATH,0,0.0,off,no_alert,,,,,,125,4.154366,1473497.583100066,5.2362684609834105
125,1,1,PATH,0,0.0,off,no_alert,,,,,,126,4.188115,1473497.616879085,5.270047480007634
126,1,1,PATH,0,0.0,off,no_alert,,,,,,127,4.22127,1473497.650543436,5.30371183087118
127,1,1,PATH,0,0.0,off,no_alert,,,,,,128,4.252579,1473497.684269567,5.3374379619490355
128,1,1,PATH,0,0.0,off,no_alert,,,,,,129,4.284158,1473497.718218376,5.371386770857498
129,1,1,PATH,0,0.0,off,no_alert,,,,,,130,4.321314,1473497.752090818,5.405259212944657
130,1,1,PATH,0,0.0,off,no_alert,,,,,,131,4.353311,1473497.78589235,5.439060744829476
131,1,1,PATH,0,0.0,off,no_alert,,,,,,132,4.383638,1473497.81977098,5.472939374856651
132,1,1,PATH,0,0.0,off,no_alert,,,,,,133,4.422117,1473497.853611207,5.506779602030292
133,1,1,PATH,0,0.0,off,no_alert,,,,,,134,4.451881,1473497.887576247,5.540744642028585
134,1,1,PATH,0,0.0,off,no_alert,,,,,,135,4.483204,1473497.921484004,5.5746523989364505
135,1,1,PATH,0,0.0,off,no_alert,,,,,,136,4.521331,1473497.955449207,5.608617601916194
136,1,1,PATH,0,0.0,off,no_alert,,,,,,137,4.552414,1473497.989540544,5.642708939034492
137,1,1,PATH,0,0.0,off,no_alert,,,,,,138,4.584992,1473498.023680012,5.676848406903446
138,1,1,PATH,0,0.0,off,no_alert,,,,,,139,4.61941,1473498.057712265,5.710880659986287
139,1,1,PATH,0,0.0,off,no_alert,,,,,,140,4.652636,1473498.091616765,5.744785159826279
140,1,1,PATH,0,0.0,off,no_alert,,,,,,141,4.684984,1473498.125528427,5.77869682200253
141,1,1,PATH,0,0.0,off,no_alert,,,,,,142,4.718913,1473498.159396853,5.812565247993916
142,1,1,PATH,0,0.0,off,no_alert,,,,,,143,4.752587,1473498.193168039,5.846336433896795
143,1,1,PATH,0,0.0,off,no_alert,,,,,,144,4.784688,1473498.226878141,5.880046535981819
144,1,1,PATH,0,0.0,off,no_alert,,,,,,145,4.821066,1473498.260870233,5.914038627874106
145,1,1,PATH,0,0.0,off,no_alert,,,,,,146,4.851868,1473498.294828264,5.947996658971533
146,1,1,PATH,0,0.0,off,no_alert,,,,,,147,4.884709,1473498.328683683,5.981852077879012
147,1,1,PATH,0,0.0,off,no_alert,,,,,,148,4.920732,1473498.362483485,6.0156518798321486
148,1,1,PATH,0,0.0,off,no_alert,,,,,,149,4.950777,1473498.396262467,6.049430861836299
149,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,150,4.983019,1473498.430057649,6.083226043963805
150,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,151,5.021335,1473498.463869469,6.117037863936275
151,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,152,5.050675,1473498.497672318,6.150840712944046
152,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,,,,,153,5.084081,1473498.531376567,6.184544961899519
153,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,,,,,154,5.118563,1473498.5650601,6.218228494981304
154,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,155,5.15002,1473498.598789138,6.251957532949746
155,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,156,5.182046,1473498.632542851,6.285711245844141
156,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,157,5.218292,1473498.666408739,6.319577133981511
157,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,,,,,158,5.250142,1473498.700099388,6.353267782833427
158,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,,,,,159,5.282312,1473498.733844732,6.387013126863167
159,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,160,5.319734,1473498.76758364,6.420752034988254
160,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,161,5.35025,1473498.801338812,6.454507207032293
161,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,,,,,162,5.382906,1473498.835244168,6.488412562990561
162,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,,,,,163,5.419059,1473498.869078818,6.522247212938964
163,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,,,,,164,5.450854,1473498.902979015,6.55614740983583
164,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,165,5.484275,1473498.936748787,6.589917181991041
165,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,166,5.521437,1473498.970478162,6.623646556865424
166,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,167,5.550176,1473499.004396636,6.657565030967817
167,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,168,5.584437,1473499.038617662,6.6917860568501055
168,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,169,5.620768,1473499.07275001,6.725918404990807
169,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,170,5.653727,1473499.106691697,6.759860091842711
170,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,171,5.684341,1473499.14077727,6.7939456650055945
171,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,172,5.721454,1473499.174690688,6.82785908295773
172,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,173,5.754103,1473499.208552216,6.861720610875636
173,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,174,5.784621,1473499.242423684,6.8955920790322125
174,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,175,5.819618,1473499.276225689,6.9293940840289
175,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,176,5.852936,1473499.309935097,6.963103491812944
176,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,177,5.8845,1473499.343792447,6.996960841817781
177,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,178,5.920884,1473499.37771662,7.030885014915839
178,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,179,5.952854,1473499.411663658,7.064832052914426
179,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,180,5.984516,1473499.445500869,7.098669263999909
180,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,181,6.019859,1473499.479324345,7.132492739940062
181,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,182,6.052844,1473499.513163001,7.16633139597252
182,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,183,6.084264,1473499.547010241,7.200178636005148
183,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,184,6.121501,1473499.580866935,7.234035329893231
184,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,185,6.152418,1473499.614683282,7.267851677024737
185,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,186,6.18502,1473499.648520582,7.301688976818696
186,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,187,6.221401,1473499.682348478,7.335516872815788
187,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,188,6.25257,1473499.716170276,7.369338670978323
188,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,189,6.28495,1473499.750053223,7.403221617918462
189,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,190,6.321624,1473499.783876508,7.437044902937487
190,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,191,6.351332,1473499.817704468,7.470872862963006
191,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,192,6.384665,1473499.851442128,7.504610522883013
192,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,193,6.420869,1473499.885366048,7.538534442894161
193,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,194,6.451014,1473499.919242666,7.572411061031744
194,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,195,6.484521,1473499.953149757,7.606318152043968
195,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,196,6.520872,1473499.987025201,7.640193596016616
196,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,197,6.552673,1473500.020883496,7.6740518908482045
197,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,198,6.584267,1473500.054766362,7.70793475699611
198,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,199,6.622253,1473500.088676313,7.741844707867131
199,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,200,6.652168,1473500.122528388,7.775696782860905
200,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,201,6.683827,1473500.156507603,7.809675997821614
201,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,202,6.721681,1473500.190506074,7.843674469040707
202,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,203,6.753411,1473500.224413766,7.877582160988823
203,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,204,6.784735,1473500.258378604,7.911546998890117
204,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,205,6.821254,1473500.292432001,7.945600396022201
205,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,206,6.852524,1473500.326561726,7.97973012086004
206,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,207,6.884376,1473500.360510754,8.013679148862138
207,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,208,6.921634,1473500.39422733,8.04739572503604
208,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,209,6.953942,1473500.428045621,8.081214015837759
209,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,210,6.984726,1473500.461852288,8.115020683035254
210,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,211,7.020898,1473500.495730741,8.14889913587831
211,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,212,7.052564,1473500.529591532,8.182759926887229
212,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,213,7.084636,1473500.563473838,8.216642232844606
213,1,1,CLEAR,0,0.0,off,cadence_complete,,,,,,214,7.121175,1473500.597299661,8.250468055950478
214,1,1,CLEAR,0,0.0,off,cadence_cancelled_by_clear,,,,,,215,7.150871,1473500.631075924,8.284244318958372
215,1,1,UNKNOWN,1,0.15,pulse,invalid_or_unknown_perception:cadence_single,,,,,,216,7.184581,1473500.664855003,8.31802339782007
216,1,1,UNKNOWN,1,0.15,pulse,invalid_or_unknown_perception:cadence_single,,,,,,217,7.222581,1473500.698714435,8.351882830029353
217,1,1,CLEAR,0,0.0,off,cadence_cancelled_by_clear,,,,,,218,7.254175,1473500.732686383,8.385854777880013
218,1,1,UNKNOWN,1,0.15,pulse,invalid_or_unknown_perception:cadence_single,,,,,,219,7.285014,1473500.766593527,8.419761921977624
219,1,1,UNKNOWN,1,0.15,pulse,invalid_or_unknown_perception:cadence_single,,,,,,220,7.321397,1473500.80048692,8.45365531486459
220,1,1,CLEAR,0,0.0,off,cadence_cancelled_by_clear,,,,,,221,7.352917,1473500.834246503,8.487414897885174
221,1,1,CLEAR,0,0.0,off,no_alert,,,,,,222,7.385292,1473500.868161364,8.521329758921638
222,1,1,CLEAR,0,0.0,off,no_alert,,,,,,223,7.421577,1473500.901928068,8.555096462834626
223,1,1,CLEAR,0,0.0,off,no_alert,,,,,,224,7.452692,1473500.935632843,8.588801237987354
224,1,1,CLEAR,0,0.0,off,no_alert,,,,,,225,7.484836,1473500.969464108,8.62263250304386
225,1,1,CLEAR,0,0.0,off,no_alert,,,,,,226,7.521168,1473501.003341909,8.656510303961113
226,1,1,CLEAR,0,0.0,off,no_alert,,,,,,227,7.553038,1473501.03724605,8.690414445009083
227,1,1,CLEAR,0,0.0,off,no_alert,,,,,,228,7.584914,1473501.071124339,8.724292733939365
228,1,1,CLEAR,0,0.0,off,no_alert,,,,,,229,7.62013,1473501.105030709,8.758199103875086
229,1,1,CLEAR,0,0.0,off,no_alert,,,,,,230,7.652866,1473501.13889897,8.792067365022376
230,1,1,CLEAR,0,0.0,off,no_alert,,,,,,231,7.684797,1473501.172792347,8.825960741844028
231,1,1,CLEAR,0,0.0,off,no_alert,,,,,,232,7.720967,1473501.206914298,8.860082692932338
232,1,1,CLEAR,0,0.0,off,no_alert,,,,,,233,7.753354,1473501.241045404,8.894213798921555
233,1,1,CLEAR,0,0.0,off,no_alert,,,,,,234,7.78503,1473501.274932508,8.928100902820006
234,1,1,CLEAR,0,0.0,off,no_alert,,,,,,235,7.82263,1473501.308804813,8.961973208002746
235,1,1,CLEAR,0,0.0,off,no_alert,,,,,,236,7.851284,1473501.342674191,8.995842586038634
236,1,1,CLEAR,0,0.0,off,no_alert,,,,,,237,7.884747,1473501.376500955,9.029669350013137
237,1,1,CLEAR,0,0.0,off,no_alert,,,,,,238,7.920154,1473501.410341714,9.063510108971968
238,1,1,CLEAR,0,0.0,off,no_alert,,,,,,239,7.95294,1473501.444109943,9.097278337925673
239,1,1,CLEAR,0,0.0,off,no_alert,,,,,,240,7.985397,1473501.477800627,9.130969021935016
240,1,1,CLEAR,0,0.0,off,no_alert,,,,,,241,8.021827,1473501.511598607,9.164767001988366
241,1,1,CLEAR,0,0.0,off,no_alert,,,,,,242,8.053564,1473501.545426232,9.19859462697059
242,1,1,CLEAR,0,0.0,off,no_alert,,,,,,243,8.085066,1473501.579252977,9.232421371852979
243,1,1,CLEAR,0,0.0,off,no_alert,,,,,,244,8.121818,1473501.613110268,9.266278662951663
244,1,1,CLEAR,0,0.0,off,no_alert,,,,,,245,8.153185,1473501.646947942,9.300116336904466
245,1,1,CLEAR,0,0.0,off,no_alert,,,,,,246,8.185272,1473501.68080186,9.333970254985616
246,1,1,CLEAR,0,0.0,off,no_alert,,,,,,247,8.230374,1473501.714653543,9.367821937892586
247,1,1,CLEAR,0,0.0,off,no_alert,,,,,,248,8.258138,1473501.748499034,9.401667428901419
248,1,1,CLEAR,0,0.0,off,no_alert,,,,,,249,8.287879,1473501.782396152,9.435564546845853
249,1,1,CLEAR,0,0.0,off,no_alert,,,,,,250,8.324056,1473501.816190208,9.469358603004366
